incident_date,city,state,description,plan,citation
7/7/2016,longboat key,FL,Worker killed in fall from scaffold.,unknown,unknown
7/7/2016,bristol,PA,Worker fatally crushed by trailer that fell from forklift.,unknown,unknown
7/7/2016,lincoln,NE,Worker fatally shot during attempted robbery.,unknown,unknown
7/7/2016,south bakersfield,CA,Worker on shoulder of highway struck and killed by vehicle.,unknown,unknown
7/6/2016,aurora,IL,Worker died from heat exposure inside warehouse.,unknown,unknown
7/5/2016,monee,IL,Worker fatally crushed by trailer that fell from lift.,unknown,unknown
7/5/2016,pico rivera,CA,Worker killed in fall through skylight.,unknown,unknown
7/5/2016,shepherdstown,WV,Worker electrocuted by energized electrical box.,unknown,unknown
7/5/2016,sedalia,KY,Worker trimming trees died after hydraulic lift bucket fell to the ground.,unknown,unknown
7/4/2016,federal way,WA,Worker struck and killed by cart being towed by trolley system.,unknown,unknown
7/2/2016,rossville,TN,Worker killed in fall down stairwell.,unknown,unknown
7/2/2016,columbus,WI,Worker fatally crushed under laser cutting table.,unknown,unknown
7/2/2016,montville,NJ,Worker killed in fall from tree.,unknown,unknown
7/1/2016,seattle,WA,Worker killed in fall from boom.,unknown,unknown
7/1/2016,mequon,WI,Worker killed in fall from semi-truck trailer.,unknown,unknown
7/1/2016,glen rock,PA,Worker died after becoming trapped in machinery.,unknown,unknown
7/1/2016,chicago,IL,Worker killed in fall from roof.,unknown,unknown
6/30/2016,tarpon springs,FL,Worker drowned when lawnmower overturned into water.,unknown,unknown
6/30/2016,burlington,VT,Construction worker killed in seven-story fall.,unknown,unknown
6/30/2016,birmingham,AL,Worker died from heat exposure.,unknown,unknown
6/30/2016,wichita,KS,Two workers killed in fall from truck-mounted articulating boom.,unknown,unknown
6/30/2016,white plains,NY,Worker electrocuted by airport taxiway marker light.,unknown,unknown
6/29/2016,houston,TX,Worker fatally crushed between scissor lift and ceiling.,unknown,unknown
6/29/2016,clarksville,TN,Worker killed in fall from scaffold.,unknown,unknown
6/29/2016,miami,FL,Worker killed in fall on contruction site.,unknown,unknown
6/29/2016,west glacier,MT,Worker fatally mauled by grizzly bear.,unknown,unknown
6/28/2016,medford,MA,Worker placing cones on interstate struck and killed by vehicle.,unknown,unknown
6/28/2016,newport,PA,Worker asphyxiated when skid loader fell in manure pit.,unknown,unknown
6/28/2016,lytle,TX,Two employees died from exposure to naptha fumes while working inside tank.,unknown,unknown
6/28/2016,midland,TX,Worker died from heat exposure in warehouse.,unknown,unknown
6/28/2016,fairland,OK,Worker killed in fall from pallet lift.,unknown,unknown
6/28/2016,sulphur,LA,Worker drowned when mower flipped over into lake.,unknown,unknown
6/27/2016,ann arbor,MI,Worker died from heat-related illness while performing construction work.,unknown,unknown
6/27/2016,abilene,TX,Worker killed in fall from roof.,unknown,unknown
6/27/2016,edmonds,WA,Worker killed in fall from ladder.,unknown,unknown
6/27/2016,gardendale,AL,Worker electrocuted when ladder contacted overhead power lines.,unknown,unknown
6/27/2016,freeport,TX,Worker struck and killed by track hoe bucket.,unknown,unknown
6/27/2016,redding,CA,Worker struck and killed by log.,unknown,unknown
6/26/2016,auburn hills,MI,Worker fatally crushed in injection mold machine.,unknown,unknown
6/25/2016,la place,LA,Worker struck and killed by cargo load that fell from crane.,unknown,unknown
6/25/2016,tyler,AL,Worker killed in fall from ladder jack scaffold.,unknown,unknown
6/24/2016,beloit,WI,Worker struck and killed by column during demolition.,unknown,unknown
6/24/2016,los angeles,CA,Worker killed in fall from trailer.,unknown,unknown
6/23/2016,noblesville,IN,Worker conducting surveyor work struck and killed by vehicle.,unknown,unknown
6/23/2016,plainfield,IL,Worker killed after falling into scrap pit and being pulled through baler machine.,unknown,unknown
6/23/2016,cleveland,TN,Worker fatally crushed between scissor lift and upper mezzanine floor.,unknown,unknown
6/23/2016,kenner,LA,Worker died after being pulled into rotating parts of industrial washing machine.,unknown,unknown
6/23/2016,modesto,CA,Worker struck and killed by vehicle.,unknown,unknown
6/22/2016,sterling,VA,Worker killed in fall from ladder.,unknown,unknown
6/22/2016,enid,OK,Worker died from heat related illness.,unknown,unknown
6/21/2016,kenton,OH,Worker fatally crushed when mobile home slid off jack.,unknown,unknown
6/21/2016,new haven,CT,Worker in back of dump truck fatally crushed by excavator.,unknown,unknown
